screen_name,followers,rt,text
Jeremy972i,453,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
_Aldanabg,714,0,b'Lawfare y el manejo d la bigdata son las nuevas herramientas q quiebran la democracia. Antes t bombardeaban una pla\\u2026 https://t.co/p0NwFiRloF'
GamzeSart,1273,39,b'RT @MikeQuindazzi: Top #AI risks for business &amp; technology leaders &gt;&gt;&gt; #PwC via @MikeQuindazzi &gt;&gt;&gt; #MachineLearning #DeepLearning #NLG #Big\\u2026'
GamzeSart,1273,94,b'RT @MikeQuindazzi: #AI will contribute $15.7 trillion to the global economy in 2030 &gt;&gt;&gt; #PwC via @MikeQuindazzi &gt;&gt;&gt; #MachineLearning #DeepL\\u2026'
cybersec_feeds,4446,23,b'RT @Paula_Piccard: 6 Key Requirements for #IoT Success \\n\\n#CyberSecurity #BigData #Analytics #Sensors #DigitalTransformation #dataviz #Secur\\u2026'
cybersec_feeds,4446,18,b'RT @maxjcm: 7 Common #Cybersecurity Mistakes Made With #AI\\n\\n#CyberSecurity #BigData #PredictiveAnalytics \\n\\n@ChuckDBrooks @1DavidClarke @mcl\\u2026'
sectest9,28152,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
SubkrishnaRao,681,15,b'RT @IainLJBrown: Artificial Intelligence Poses New Threat to Equal Employment Opportunity - Forbes\\n\\nRead more here: https://t.co/SUXPnx1ohv\\u2026'
ArkangelScrap,40137,14,b'RT @Ronald_vanLoon: 5 Ways You Use Quantum #Technology Every Day\\nby @DominicWalliman @antgrasso\\n\\n#AI #IoT #BigData #ArtificialIntelligence\\u2026'
persodeky,318,0,b'The single market remains the decisive power of the EU https://t.co/DGkMtxbhmO via @CEPS_thinktank #Europe #economy\\u2026 https://t.co/6GIGngIfVW'
dclvitorino,381,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
iamjony94,13545,0,b'6 Ideas to Repurpose Content that Require Very Little Effort https://t.co/UyoUmK2vcz #socialmedia #digitalmarketing\\u2026 https://t.co/6Hzwu6gOrN'
yourXss,146,1,"b'RT @claudiomkd: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by glwebeu | \\n\\nRead more at  \\n\\n#AI #Art\\u2026'"
yourXss,146,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
yourXss,146,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
DataVault_UK,4566,0,b'Why the #DataWarehouse is becoming the #DataService Our blog has some questions for #SystemsArchitects and\\u2026 https://t.co/Xvxuj2w9RV'
rstatstweet,4389,2,b'RT @PyData: Keep up with new developments from @NumFOCUS sponsored projects \\u2014 join our monthly email newsletter: https://t.co/xJeTIhY0Zt\\n\\n#\\u2026'
pickle_whispers,81,1,b'RT @nihalertugrul: @NatGeo Japanese scientists have create #AI that can visualize our thoughts\\nvia @wef\\n#ArtificialIntelligence #MachineLea\\u2026'
TheCuriousLuke,3331,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
ArkangelScrap,40137,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
Nouchka__9,954,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
LetiziaMx,2726,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
IoT_Technojeder,950,1,b'RT @SalomonOli: what we want to see #DeepLearning #IoT #BigData via https://t.co/s7n0wYZc3s https://t.co/jGkr5XDQl5'
cloudsh,3524,41,b'RT @gp_pulipaka: New Game Theory Innovations that are Influencing #ReinforcementLearning. #BigData #Analytics #DataScience #AI #MachineLear\\u2026'
BigData_Joe,18396,19,b'RT @clark_robotics: #FutureofWork: Global #CEOs\\u2019 concern over the availability of #Talent has risen &gt;&gt;&gt; #PwC via @MikeQuindazzi &gt;&gt;&gt; #AI #Io\\u2026'
craigbrownphd,47189,2,b'RT @craigbrownphd: Azure infrastructure as a service (IaaS) for every workload https://t.co/jYe4cnKF8H #Azure #CloudComputing #MSP #Tech #B\\u2026'
EightWireData,380,0,"b""Heading to @sgfintechfest and keen to have a demo with us? We'll be at the Microsoft Booth TODAY 1.30 to 2 PM\\u2026 https://t.co/9fxjFSwQff"""
hubermantamir,4220,0,b'Five Benefits Of Big Data Analytics And How Companies Can Get Started #BigData #BigDataAnalytics #Companies via\\u2026 https://t.co/d84L8h6oT8'
SalomonOli,2766,1,b'what we want to see #DeepLearning #IoT #BigData via https://t.co/s7n0wYZc3s https://t.co/jGkr5XDQl5'
jimmy_gott,1486,20,b'RT @gp_pulipaka: A3C \\u2014 What It Is. #BigData #Analytics #DataScience #AI #MachineLearning #ReinforcementLearning #IoT #IIoT #PyTorch #Python\\u2026'
ume_kyd,9544,72,b'RT @ume_kyd: In the pursuit of your dreams\\U0001f4a5#Innovation\\n\\nDiscover insightful information in your #data\\nFind the new #SmartData frontier\\n#Vis\\u2026'
ArkangelScrap,40137,20,b'RT @gp_pulipaka: A3C \\u2014 What It Is. #BigData #Analytics #DataScience #AI #MachineLearning #ReinforcementLearning #IoT #IIoT #PyTorch #Python\\u2026'
ArkangelScrap,40137,41,b'RT @gp_pulipaka: New Game Theory Innovations that are Influencing #ReinforcementLearning. #BigData #Analytics #DataScience #AI #MachineLear\\u2026'
jimmy_gott,1486,18,b'RT @gp_pulipaka: TIOBE #Programming Index for Nov. 2019. #C Getting Close to #Java. #BigData #Analytics #DataScience #IoT #IIoT #CPP #PyTor\\u2026'
jimmy_gott,1486,18,b'RT @gp_pulipaka: #DotNETCore with #Jupyter Notebooks \\u2013 Available Today. #BigData #Analytics #Hadoop #ApacheSpark #DataScience #AI #MachineL\\u2026'
ArkangelScrap,40137,42,b'RT @gp_pulipaka: Running Your ML Models In A Browser Using #TensorFlowJS and #ONNXJS. #BigData #Analytics #DataScience #AI #MachineLearning\\u2026'
ArkangelScrap,40137,27,b'RT @gp_pulipaka: Knowledge Quadrant for Machine Learning. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python\\u2026'
CoinCapsAi,5356,0,"b'#millennials, #boomers, #zoomers, #bitcoin, #stocks, #ethereum? \\n#instablockchain #instacrypto #btcnews #monero\\u2026 https://t.co/pkQpLc98Zy'"
claudiomkd,4389,1,"b'Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by glwebeu | \\n\\nRead more at\\u2026 https://t.co/Ok4PHayaEV'"
ravikikan,11573,3,b'RT @BigData_Joe: 7 Steps To Starting Your Own #Business \\n\\nvia @ravikikan @MikeQuindazzi #DataScience #bigdata #Infographics #tech #marketin\\u2026'
