screen_name,followers,rt,text
,,0,b'RT @IanLJones98: Beginners Guide to Machine Learning #ML #AI #DL #IoT #NLP #BigData #Analytics &amp; #Blockchain &amp; some of the best practitione\\u2026'
,,0,b'RT @ZaproDigital: RT wiwer77: 24 Internet of Things Examples &amp;amp; Applications To Know  https://t.co/uT6rPqwF0N\\n#AI #IA #BigData #BlockCha\\u2026'
,,0,"b""RT @daviddoughty: RT @reach2ratan: New ZombieLoad v2 Attack Affects Intel's Latest Cascade Lake CPUs https://t.co/aHyx0d9rzp\\n\\n#CyberSecurit\\u2026"""
,,0,b'Tomorrow is the #BigData Bellevue (BDB) meetup at Pike Place Conference Room on 5th Floor of One Bellevue Center bu\\u2026 https://t.co/PzKIpGcNn2'
,,0,"b""RT @daviddoughty: RT @reach2ratan: New ZombieLoad v2 Attack Affects Intel's Latest Cascade Lake CPUs https://t.co/aHyx0d9rzp\\n\\n#CyberSecurit\\u2026"""
,,0,b'Department of Energy Announces $15 Million for Development of Artificial Intelligence and Machine Learning Tools -\\u2026 https://t.co/TET7chScyG'
,,0,"b'RT @CoinCapsAi: #galaxy #digital #launches new #bitcoin #funds, #bakkt #crosses #$100 #million, #fidelity #scores #crypto #license \\n#instab\\u2026'"
,,0,"b""RT @MER4BetterIG: Maslow's Hierarchy....integrating today's social media\\n\\nhttps://t.co/2k5bh7xIif\\n\\n#IG\\n#InfoGov \\n#eDiscovery \\n#AI \\n#GDPR \\n#\\u2026"""
,,0,b'RT @nTangledCloud: New code for internet-connected devices to stop hackers - The Age https://t.co/fpKy3jPryh #Tech #Technology #blockchain\\u2026'
,,0,b'RT @deivilozano: Importancia de la agronom\\xeda en  #Agricultura40 con dispositivos #IoT #BigData en condiciones de producci\\xf3n @riegosostenibl\\u2026'
,,0,"b""RT @_ArvindMehta: At a two-day #IoT #BlockChain and #AI #techexpo in #SantaClara . It's amazing to see the rapid pace of technological chan\\u2026"""
,,0,b'20 years from now best solutions will be calculated automatically mixing solutions between patients and doctors.\\u2026 https://t.co/heizByzQhx'
,,0,b'@chainofthings where #iot #security meets #blockchain RT @Jeremy972i: RT @ZaproDigital: RT wiwer77: 24 Internet of\\u2026 https://t.co/vmrEcoUGnN'
,,0,b'RT @deivilozano: P\\xedldoras visuales sobre el terreno para reflexionar sobre el uso de #TIC #IoT #Bigdata en la #agricultura 4.0. Si os gusta\\u2026'
,,0,"b'Why is it that of 95 percent of Fortune 1000 entrepreneurs who have undertaken big data projects, less than 50 perc\\u2026 https://t.co/6huutaJSus'"
,,0,"b'#Communication is key in #digitaltransformation, read about why. \\xbb https://t.co/CEzGbt9NKi\\n\\n#IoT #Cloud #BigData\\u2026 https://t.co/u77Vnra4mE'"
,,0,b'Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch\\u2026 https://t.co/Oh2qpl8zE6'
,,0,b'RT @arjenvanberkum: #AI Trained on Decades of Food Research Is Making Brand-New Foods. \\xbb https://t.co/TFKDB6AOZv\\n\\n#AI #MachineLearning #ML\\u2026'
,,0,b'mt: @Fisher85M\\nCopy: @MikeQuindazzi @antgrasso\\n\\n#Top10 tips for implementing IoT [Infographic]\\n\\n[@TriciaKicksSaaS]\\u2026 https://t.co/cyEDOQQfP1'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,"b'RT @iberobike: #Strava recopila mucha informaci\\xf3n sobre ti, seguramente m\\xe1s de la que piensas.\\n\\nhttps://t.co/P1QnRRB4TF\\n\\n#ciclismo #IoT #te\\u2026'"
,,0,b'RT @wiomax: Unlocking Potentials of Smart #IoT with #LPWAN technology https://t.co/h0nsoqtDkS #LoRaWAN #NBIoT #InternetOfThings #BigData #A\\u2026'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @CyberDigitalTec: mt: @Fisher85M\\nCopy: @MikeQuindazzi @antgrasso\\n\\n#Top10 tips for implementing IoT [Infographic]\\n\\n[@TriciaKicksSaaS]\\n\\n#I\\u2026'
,,0,b'RT @ThancmarFeldt: Department of Energy Announces $15 Million for Development of Artificial Intelligence and Machine Learning Tools - https\\u2026'
,,0,"b'RT @RichardEudes: Top Machine Learning Algorithms \\u2013 Data Scientist Basic Tool Kit https://t.co/B25s67og8z #artificialintelligence, #bigdata\\u2026'"
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @griddb_jp: #MicrosoftWindowsInstaller (#MSI) for GridDB Windows #Clang has been added. It will became easier to install #Windows versio\\u2026'
,,0,b'RT @BienesRaicesAme: Las reformas arquitect\\xf3nicas para departamentos mostradas en 3D ayudan a agilizar las ventas inmobiliarias en Espa\\xf1a h\\u2026'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,"b'RT @RichardEudes: Data Modelling Topologies of a Graph Database https://t.co/rPYsQxXNnn #bigdata, #datascience #ds'"
,,0,b'How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years:\\u2026 https://t.co/1CUEjh18nB'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,"b'#amazon is using purchase data to sell targeted ads, which is creepy, but not for the reasons you think\\u2026 https://t.co/sygU0azkcZ'"
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,"b""RT @Primary_Immune: IDing what immune-system 'T-cells' have in their crosshairs - Big implications for infections, autoimmunity &amp; allergies\\u2026"""
,,0,b'RT @gp_pulipaka: Must-Have Applications for Data Science.  #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Pytho\\u2026'
,,0,b'RT @KirkDBorne: How #AI and a Clinical Data Revolution saved @Intermountain Healthcare System $90 Million in under 5 Years: https://t.co/9P\\u2026'
